timestamps,open,high,low,close,volume,amount
2025-09-01 09:35:00,7.43,7.43,7.36,7.37,393317,290429249.0
2025-09-01 09:40:00,7.37,7.4,7.36,7.39,277150,204569871.0
2025-09-01 09:45:00,7.39,7.43,7.37,7.43,245993,181850346.0
2025-09-01 09:50:00,7.42,7.44,7.41,7.41,151446,112453276.0
2025-09-01 09:55:00,7.41,7.44,7.41,7.41,131924,97928683.0
2025-09-01 10:00:00,7.41,7.44,7.41,7.44,124651,92593541.0
2025-09-01 10:05:00,7.44,7.45,7.43,7.44,150755,112208975.0
2025-09-01 10:10:00,7.45,7.45,7.41,7.41,94781,70411850.0
2025-09-01 10:15:00,7.4,7.42,7.4,7.41,59702,44230516.0
2025-09-01 10:20:00,7.41,7.41,7.4,7.41,38856,28764105.0
2025-09-01 10:25:00,7.4,7.41,7.39,7.39,99812,73809702.0
2025-09-01 10:30:00,7.4,7.41,7.39,7.4,58039,42948614.0
2025-09-01 10:35:00,7.39,7.42,7.39,7.42,38677,28642628.0
2025-09-01 10:40:00,7.41,7.42,7.4,7.41,26395,19556176.0
2025-09-01 10:45:00,7.41,7.42,7.4,7.41,44374,32891885.0
2025-09-01 10:50:00,7.41,7.42,7.4,7.4,43332,32111262.0
2025-09-01 10:55:00,7.4,7.42,7.4,7.42,94735,70211789.0
2025-09-01 11:00:00,7.42,7.42,7.41,7.41,30692,22760483.0
2025-09-01 11:05:00,7.41,7.42,7.39,7.39,67069,49653010.0
2025-09-01 11:10:00,7.39,7.4,7.38,7.39,72342,53455152.0
2025-09-01 11:15:00,7.38,7.39,7.37,7.37,116987,86336692.0
2025-09-01 11:20:00,7.38,7.38,7.37,7.38,81498,60104353.0
2025-09-01 11:25:00,7.37,7.38,7.37,7.38,69615,51333267.0
2025-09-01 11:30:00,7.37,7.38,7.36,7.36,153807,113336289.0
2025-09-01 13:05:00,7.36,7.39,7.36,7.39,90393,66649892.0
2025-09-01 13:10:00,7.39,7.39,7.37,7.38,47108,34768615.0
2025-09-01 13:15:00,7.37,7.38,7.37,7.37,34735,25622477.0
2025-09-01 13:20:00,7.38,7.39,7.37,7.38,35024,25840855.0
2025-09-01 13:25:00,7.37,7.38,7.37,7.38,43729,32254687.0
2025-09-01 13:30:00,7.38,7.38,7.37,7.37,37916,27964906.0
2025-09-01 13:35:00,7.38,7.38,7.37,7.37,87515,64517656.0
2025-09-01 13:40:00,7.37,7.38,7.37,7.38,54333,40055006.0
2025-09-01 13:45:00,7.37,7.38,7.36,7.36,57203,42141632.0
2025-09-01 13:50:00,7.37,7.37,7.36,7.37,35942,26479715.0
2025-09-01 13:55:00,7.36,7.37,7.36,7.37,28450,20958107.0
2025-09-01 14:00:00,7.37,7.37,7.36,7.37,37946,27954449.0
2025-09-01 14:05:00,7.36,7.37,7.36,7.36,52126,38387588.0
2025-09-01 14:10:00,7.37,7.37,7.36,7.37,36635,26981313.0
2025-09-01 14:15:00,7.37,7.37,7.36,7.36,56949,41941641.0
2025-09-01 14:20:00,7.37,7.38,7.36,7.37,50128,36941807.0
2025-09-01 14:25:00,7.37,7.38,7.37,7.38,33672,24824036.0
2025-09-01 14:30:00,7.37,7.38,7.37,7.37,36798,27134570.0
2025-09-01 14:35:00,7.37,7.38,7.37,7.37,28684,21152204.0
2025-09-01 14:40:00,7.37,7.38,7.37,7.38,26450,19505529.0
2025-09-01 14:45:00,7.37,7.38,7.37,7.37,43641,32181560.0
2025-09-01 14:50:00,7.37,7.38,7.37,7.38,52880,38997238.0
2025-09-01 14:55:00,7.38,7.38,7.37,7.38,65285,48143582.0
2025-09-01 15:00:00,7.37,7.38,7.37,7.38,105942,78157182.0
2025-09-02 09:35:00,7.37,7.39,7.35,7.37,233582,172221067.0
2025-09-02 09:40:00,7.37,7.39,7.36,7.37,214240,157985009.0
2025-09-02 09:45:00,7.37,7.38,7.36,7.37,125994,92895920.0
2025-09-02 09:50:00,7.38,7.41,7.37,7.39,239887,177288613.0
2025-09-02 09:55:00,7.39,7.4,7.38,7.4,139706,103329485.0
2025-09-02 10:00:00,7.39,7.41,7.39,7.4,108614,80374559.0
2025-09-02 10:05:00,7.41,7.42,7.39,7.4,176314,130610004.0
2025-09-02 10:10:00,7.41,7.43,7.4,7.43,162496,120535371.0
2025-09-02 10:15:00,7.43,7.44,7.42,7.42,204586,152015208.0
2025-09-02 10:20:00,7.42,7.43,7.42,7.42,97472,72378115.0
2025-09-02 10:25:00,7.42,7.43,7.42,7.43,46301,34386233.0
2025-09-02 10:30:00,7.43,7.45,7.42,7.44,239492,178102659.0
2025-09-02 10:35:00,7.45,7.46,7.44,7.45,228446,170240219.0
2025-09-02 10:40:00,7.46,7.47,7.45,7.45,132379,98773356.0
2025-09-02 10:45:00,7.46,7.46,7.44,7.44,68267,50861621.0
2025-09-02 10:50:00,7.44,7.46,7.44,7.45,93732,69823997.0
2025-09-02 10:55:00,7.46,7.47,7.45,7.47,151418,112998644.0
2025-09-02 11:00:00,7.47,7.48,7.45,7.45,214096,159808337.0
2025-09-02 11:05:00,7.46,7.47,7.45,7.46,167255,124771216.0
2025-09-02 11:10:00,7.45,7.46,7.45,7.46,41558,30985554.0
2025-09-02 11:15:00,7.45,7.46,7.45,7.45,46372,34581031.0
2025-09-02 11:20:00,7.46,7.46,7.45,7.45,49894,37201886.0
2025-09-02 11:25:00,7.46,7.47,7.45,7.47,71987,53693467.0
2025-09-02 11:30:00,7.47,7.5,7.46,7.5,467607,350110963.0
2025-09-02 13:05:00,7.5,7.53,7.49,7.52,557910,418958562.0
2025-09-02 13:10:00,7.53,7.55,7.53,7.54,378551,285425690.0
2025-09-02 13:15:00,7.54,7.54,7.51,7.52,165901,124818899.0
2025-09-02 13:20:00,7.51,7.52,7.5,7.5,158200,118834018.0
2025-09-02 13:25:00,7.5,7.51,7.5,7.5,101425,76113328.0
2025-09-02 13:30:00,7.5,7.51,7.5,7.51,86616,65004277.0
2025-09-02 13:35:00,7.51,7.51,7.49,7.5,98798,74087605.0
2025-09-02 13:40:00,7.49,7.51,7.49,7.5,75559,56684895.0
2025-09-02 13:45:00,7.51,7.52,7.5,7.51,81998,61586739.0
2025-09-02 13:50:00,7.51,7.52,7.5,7.51,36585,27469805.0
2025-09-02 13:55:00,7.51,7.52,7.5,7.51,54942,41271049.0
2025-09-02 14:00:00,7.52,7.52,7.51,7.51,49064,36885693.0
2025-09-02 14:05:00,7.52,7.53,7.51,7.52,105841,79613769.0
2025-09-02 14:10:00,7.53,7.53,7.52,7.52,150654,113400141.0
2025-09-02 14:15:00,7.53,7.56,7.53,7.55,530956,400703530.0
2025-09-02 14:20:00,7.55,7.56,7.54,7.55,109828,82926819.0
2025-09-02 14:25:00,7.55,7.56,7.55,7.55,135357,102291825.0
2025-09-02 14:30:00,7.55,7.57,7.55,7.56,222105,167927663.0
2025-09-02 14:35:00,7.56,7.57,7.55,7.56,195184,147590371.0
2025-09-02 14:40:00,7.56,7.56,7.55,7.55,87247,65933649.0
2025-09-02 14:45:00,7.56,7.56,7.54,7.56,126859,95789472.0
2025-09-02 14:50:00,7.55,7.56,7.55,7.56,107490,81231151.0
2025-09-02 14:55:00,7.56,7.57,7.55,7.56,170020,128564626.0
2025-09-02 15:00:00,7.57,7.57,7.56,7.57,181867,137634291.0
2025-09-03 09:35:00,7.57,7.57,7.52,7.54,394151,297435333.0
2025-09-03 09:40:00,7.53,7.58,7.52,7.56,271760,205446941.0
2025-09-03 09:45:00,7.56,7.56,7.53,7.55,229271,172907935.0
2025-09-03 09:50:00,7.55,7.56,7.52,7.53,158851,119693989.0
2025-09-03 09:55:00,7.53,7.57,7.53,7.56,141304,106732049.0
2025-09-03 10:00:00,7.56,7.57,7.54,7.55,112976,85361002.0
2025-09-03 10:05:00,7.54,7.56,7.53,7.53,53557,40423952.0
2025-09-03 10:10:00,7.54,7.54,7.52,7.53,52370,39432358.0
2025-09-03 10:15:00,7.54,7.55,7.53,7.53,72568,54711929.0
2025-09-03 10:20:00,7.53,7.54,7.53,7.54,56930,42874774.0
2025-09-03 10:25:00,7.53,7.53,7.51,7.51,92255,69371238.0
2025-09-03 10:30:00,7.52,7.52,7.51,7.51,68628,51561482.0
2025-09-03 10:35:00,7.51,7.53,7.5,7.5,138831,104295217.0
2025-09-03 10:40:00,7.5,7.51,7.5,7.5,38677,29019955.0
2025-09-03 10:45:00,7.5,7.52,7.48,7.48,234874,176209067.0
2025-09-03 10:50:00,7.48,7.5,7.47,7.5,134186,100396934.0
2025-09-03 10:55:00,7.49,7.5,7.47,7.48,70310,52623234.0
2025-09-03 11:00:00,7.47,7.48,7.46,7.47,123268,92003872.0
2025-09-03 11:05:00,7.46,7.47,7.45,7.46,78713,58687492.0
2025-09-03 11:10:00,7.46,7.48,7.45,7.48,75029,55993909.0
2025-09-03 11:15:00,7.48,7.48,7.45,7.47,58360,43555551.0
2025-09-03 11:20:00,7.47,7.49,7.46,7.49,71503,53448200.0
2025-09-03 11:25:00,7.49,7.52,7.48,7.51,126379,94781861.0
2025-09-03 11:30:00,7.5,7.51,7.48,7.49,62292,46669640.0
2025-09-03 13:05:00,7.49,7.5,7.48,7.49,147155,110144163.0
2025-09-03 13:10:00,7.49,7.51,7.48,7.51,71406,53512739.0
2025-09-03 13:15:00,7.51,7.51,7.49,7.5,29166,21873303.0
2025-09-03 13:20:00,7.5,7.51,7.49,7.49,46562,34910270.0
2025-09-03 13:25:00,7.5,7.5,7.48,7.49,54597,40893940.0
2025-09-03 13:30:00,7.49,7.5,7.48,7.49,54956,41154250.0
2025-09-03 13:35:00,7.48,7.49,7.47,7.47,49561,37064425.0
2025-09-03 13:40:00,7.48,7.48,7.47,7.47,34565,25842985.0
2025-09-03 13:45:00,7.47,7.48,7.46,7.48,57454,42925852.0
2025-09-03 13:50:00,7.47,7.48,7.46,7.47,57822,43179299.0
2025-09-03 13:55:00,7.47,7.48,7.47,7.47,47164,35254700.0
2025-09-03 14:00:00,7.47,7.48,7.46,7.48,68370,51080290.0
2025-09-03 14:05:00,7.47,7.48,7.46,7.47,75159,56140356.0
2025-09-03 14:10:00,7.47,7.47,7.44,7.45,256697,191310980.0
2025-09-03 14:15:00,7.44,7.45,7.44,7.44,58741,43734588.0
2025-09-03 14:20:00,7.45,7.45,7.44,7.45,59658,44417038.0
2025-09-03 14:25:00,7.45,7.45,7.44,7.44,31355,23342255.0
2025-09-03 14:30:00,7.45,7.45,7.44,7.45,42363,31539994.0
2025-09-03 14:35:00,7.45,7.45,7.44,7.45,64346,47919202.0
2025-09-03 14:40:00,7.45,7.45,7.43,7.43,118096,87860898.0
2025-09-03 14:45:00,7.44,7.45,7.43,7.44,114585,85231877.0
2025-09-03 14:50:00,7.44,7.45,7.42,7.43,165896,123340362.0
2025-09-03 14:55:00,7.43,7.44,7.42,7.44,156287,116037446.0
2025-09-03 15:00:00,7.43,7.46,7.43,7.44,140767,104755530.0
2025-09-04 09:35:00,7.4,7.42,7.31,7.32,783493,576191949.0
2025-09-04 09:40:00,7.32,7.32,7.28,7.29,533799,389822531.0
2025-09-04 09:45:00,7.3,7.33,7.26,7.33,430935,313880972.0
2025-09-04 09:50:00,7.33,7.33,7.29,7.32,188594,137682880.0
2025-09-04 09:55:00,7.32,7.33,7.3,7.32,140167,102510697.0
2025-09-04 10:00:00,7.32,7.33,7.3,7.31,140367,102712578.0
2025-09-04 10:05:00,7.31,7.35,7.31,7.34,175499,128790935.0
2025-09-04 10:10:00,7.34,7.36,7.34,7.35,130588,95976830.0
2025-09-04 10:15:00,7.35,7.37,7.33,7.37,170663,125427909.0
2025-09-04 10:20:00,7.37,7.37,7.35,7.36,95272,70102138.0
2025-09-04 10:25:00,7.36,7.37,7.35,7.36,48977,36049089.0
2025-09-04 10:30:00,7.37,7.4,7.36,7.4,140067,103408652.0
2025-09-04 10:35:00,7.4,7.43,7.39,7.42,135576,100489110.0
2025-09-04 10:40:00,7.42,7.42,7.38,7.38,75650,55956846.0
2025-09-04 10:45:00,7.38,7.42,7.38,7.41,88158,65275317.0
2025-09-04 10:50:00,7.41,7.41,7.4,7.41,35605,26368856.0
2025-09-04 10:55:00,7.41,7.42,7.39,7.4,150965,111823207.0
2025-09-04 11:00:00,7.4,7.41,7.38,7.39,88089,65166370.0
2025-09-04 11:05:00,7.39,7.42,7.38,7.4,144053,106634294.0
2025-09-04 11:10:00,7.4,7.4,7.38,7.39,43574,32208829.0
2025-09-04 11:15:00,7.39,7.4,7.38,7.4,56371,41678489.0
2025-09-04 11:20:00,7.4,7.4,7.38,7.4,48898,36136595.0
2025-09-04 11:25:00,7.4,7.41,7.39,7.4,48194,35675648.0
2025-09-04 11:30:00,7.4,7.4,7.37,7.38,51733,38195813.0
2025-09-04 13:05:00,7.39,7.44,7.38,7.44,253872,188435698.0
2025-09-04 13:10:00,7.44,7.46,7.43,7.46,210304,156722103.0
2025-09-04 13:15:00,7.46,7.48,7.44,7.46,197888,147679506.0
2025-09-04 13:20:00,7.46,7.47,7.45,7.47,55872,41683655.0
2025-09-04 13:25:00,7.47,7.48,7.46,7.47,58997,44068879.0
2025-09-04 13:30:00,7.47,7.49,7.47,7.49,105396,78807143.0
2025-09-04 13:35:00,7.48,7.5,7.48,7.49,93613,70092171.0
2025-09-04 13:40:00,7.49,7.5,7.48,7.49,113394,84976666.0
2025-09-04 13:45:00,7.49,7.5,7.48,7.5,97901,73369970.0
2025-09-04 13:50:00,7.5,7.52,7.49,7.51,179767,134989266.0
2025-09-04 13:55:00,7.52,7.54,7.51,7.53,198594,149452924.0
2025-09-04 14:00:00,7.53,7.55,7.53,7.53,249615,188248260.0
2025-09-04 14:05:00,7.53,7.53,7.5,7.5,122861,92325399.0
2025-09-04 14:10:00,7.5,7.51,7.5,7.51,86544,64949149.0
2025-09-04 14:15:00,7.51,7.52,7.5,7.51,130429,98027524.0
2025-09-04 14:20:00,7.51,7.53,7.51,7.53,170547,128382862.0
2025-09-04 14:25:00,7.53,7.54,7.51,7.52,222216,167294515.0
2025-09-04 14:30:00,7.53,7.56,7.53,7.55,389558,293841251.0
2025-09-04 14:35:00,7.55,7.56,7.54,7.56,305285,230599399.0
2025-09-04 14:40:00,7.56,7.58,7.56,7.57,377200,285403898.0
2025-09-04 14:45:00,7.57,7.6,7.57,7.58,532907,404263346.0
2025-09-04 14:50:00,7.58,7.59,7.56,7.57,330548,250465842.0
2025-09-04 14:55:00,7.57,7.57,7.55,7.56,199293,150740069.0
2025-09-04 15:00:00,7.56,7.56,7.53,7.54,132171,99737372.0
2025-09-05 09:35:00,7.52,7.53,7.4,7.51,659616,493726445.0
2025-09-05 09:40:00,7.52,7.54,7.49,7.5,215285,161767608.0
2025-09-05 09:45:00,7.49,7.5,7.47,7.47,168536,126075175.0
2025-09-05 09:50:00,7.46,7.47,7.42,7.42,223417,166177061.0
2025-09-05 09:55:00,7.42,7.47,7.42,7.46,171366,127628304.0
2025-09-05 10:00:00,7.45,7.46,7.44,7.46,89154,66466248.0
2025-09-05 10:05:00,7.47,7.48,7.44,7.48,98397,73366250.0
2025-09-05 10:10:00,7.48,7.48,7.45,7.48,91562,68333872.0
2025-09-05 10:15:00,7.48,7.49,7.46,7.47,75732,56605864.0
2025-09-05 10:20:00,7.47,7.47,7.46,7.47,50862,37965811.0
2025-09-05 10:25:00,7.47,7.48,7.46,7.47,45328,33851405.0
2025-09-05 10:30:00,7.48,7.48,7.45,7.45,55883,41697601.0
2025-09-05 10:35:00,7.46,7.47,7.44,7.46,129417,96478115.0
2025-09-05 10:40:00,7.46,7.48,7.46,7.47,68223,50961303.0
2025-09-05 10:45:00,7.47,7.48,7.45,7.46,120107,89621113.0
2025-09-05 10:50:00,7.47,7.47,7.45,7.46,59923,44684944.0
2025-09-05 10:55:00,7.46,7.48,7.45,7.47,90544,67602619.0
2025-09-05 11:00:00,7.47,7.47,7.46,7.46,36636,27347545.0
2025-09-05 11:05:00,7.47,7.47,7.45,7.45,64074,47802261.0
2025-09-05 11:10:00,7.45,7.46,7.45,7.46,23679,17656658.0
2025-09-05 11:15:00,7.45,7.46,7.45,7.45,37728,28115974.0
2025-09-05 11:20:00,7.45,7.47,7.45,7.46,47867,35701032.0
2025-09-05 11:25:00,7.45,7.47,7.45,7.46,92770,69188702.0
2025-09-05 11:30:00,7.46,7.47,7.45,7.45,31012,23131504.0
2025-09-05 13:05:00,7.45,7.46,7.43,7.45,161422,120171530.0
2025-09-05 13:10:00,7.45,7.46,7.45,7.45,46878,34933961.0
2025-09-05 13:15:00,7.46,7.46,7.45,7.45,37690,28085889.0
2025-09-05 13:20:00,7.45,7.47,7.45,7.46,45524,33948182.0
2025-09-05 13:25:00,7.45,7.46,7.45,7.45,18134,13517089.0
2025-09-05 13:30:00,7.46,7.46,7.44,7.44,55998,41713163.0
2025-09-05 13:35:00,7.44,7.45,7.44,7.44,41353,30776255.0
2025-09-05 13:40:00,7.45,7.45,7.43,7.43,40734,30307832.0
2025-09-05 13:45:00,7.43,7.45,7.43,7.44,35335,26284669.0
2025-09-05 13:50:00,7.45,7.45,7.44,7.45,36068,26839502.0
2025-09-05 13:55:00,7.44,7.45,7.43,7.43,47733,35492536.0
2025-09-05 14:00:00,7.43,7.44,7.43,7.44,48541,36085871.0
2025-09-05 14:05:00,7.43,7.44,7.43,7.44,53790,40001168.0
2025-09-05 14:10:00,7.44,7.45,7.43,7.44,51416,38253558.0
2025-09-05 14:15:00,7.44,7.45,7.43,7.44,40014,29779208.0
2025-09-05 14:20:00,7.45,7.45,7.44,7.45,49772,37047817.0
2025-09-05 14:25:00,7.44,7.45,7.43,7.44,72951,54292622.0
2025-09-05 14:30:00,7.45,7.45,7.44,7.44,68333,50860021.0
2025-09-05 14:35:00,7.45,7.45,7.44,7.45,53068,39497448.0
2025-09-05 14:40:00,7.44,7.45,7.44,7.45,83234,61992093.0
2025-09-05 14:45:00,7.45,7.46,7.44,7.44,68549,51035704.0
2025-09-05 14:50:00,7.44,7.45,7.43,7.43,169685,126281855.0
